set_id,label_id,spl_version,title,section,label,gpt_annotation
297f0888-729c-4ce6-8779-6b239abf3c93,297f0888-729c-4ce6-8779-6b239abf3c93,1,"ALBALON®
(naphazoline hydrochloride ophthalmic solution, USP) 0.1%",DI,"Drug Interactions:

Concurrent use of maprotiline or tricyclic antidepressants and naphazoline may potentiate the pressor effect of naphazoline. Patients under therapy with MAO inhibitors may experience a severe hypertensive crisis if given a sympathomimetic drug. (See WARNINGS.)","maprotiline,tricyclic antidepressants,MAO inhibitors,sympathomimetic drug"
908691b4-7950-4f3e-bbea-ea568fee7ac3,e6f0f0dd-940a-490f-a404-56dd561264e6,1,"Isoxsuprine Hydrochloride Tablets, USP",DI,,""
5a0ba417-8a4a-4d7f-b85a-1839ee8bd3f1,8e64b577-1ecb-46f2-a7c8-3577a16f8837,5,"These highlights do not include all the information needed to use VISTOGARD safely and effectively. See full prescribing information for VISTOGARD.
VISTOGARD® (uridine triacetate) oral granulesInitial U.S. Approval: 2015",DI,,""
366e7ca9-4fd3-4688-bd83-1f369885e0fc,191d11f2-a407-4cbf-8e8b-466e2bc03f2c,4,"These highlights do not include all the information needed to use PENTETATE ZINC TRISODIUM INJECTION safely and effectively. See full prescribing information for PENTETATE ZINC TRISODIUM INJECTION.
 Pentetate zinc trisodium injection (Zn-DTPA)
 For intravenous or inhalation administration Initial U.S. Approval: 2004",DI,"7 DRUG INTERACTIONS

Adequate and well-controlled drug-drug interaction studies in humans were not identified in the literature. When an individual is contaminated with multiple radiocontaminants, or when the radiocontaminants are unknown, additional therapies may be needed (e.g., Prussian blue, potassium iodide).





Adequate and well-controlled drug-drug interaction studies in humans were not identified in the literature. (7)","Prussian blue, potassium iodide"
bc563e90-10e5-475d-aa84-b0e3d582ae95,1b3410c5-6dba-401e-8a6e-4b483e65dc48,4,"These highlights do not include all the information needed to use PENTETATE CALCIUM TRISODIUM INJECTION safely and effectively. See full prescribing information for PENTETATE CALCIUM TRISODIUM INJECTION.
Pentetate calcium trisodium injection (Ca-DTPA)
For intravenous or inhalation administrationInitial U.S. Approval: 2004",DI,"7 DRUG INTERACTIONS

Adequate and well-controlled drug-drug interaction studies in humans were not identified in the literature. When an individual is contaminated with multiple radiocontaminants, or when the radiocontaminants are unknown, additional therapies may be needed (e.g., Prussian blue, potassium iodide).





Adequate and well-controlled drug-drug interaction studies in humans were not identified in the literature. (7)","Prussian blue, potassium iodide"
eccd8340-ead3-4363-8902-0c19d33aa2ac,6f36157b-6fae-4428-80b7-aee3842d21c6,13,"BREVITAL®


 (methohexital sodium) for injection, USP",DI,"Drug Interactions


Prior chronic administration of barbiturates or phenytoin (e.g. for seizure disorder) appears to reduce the effectiveness of BREVITAL. Barbiturates may influence the metabolism of other concomitantly used drugs, such as phenytoin, halothane, anticoagulants, corticosteroids, ethyl alcohol, and propylene glycol-containing solutions.","barbiturates,phenytoin,halothane,anticoagulants,corticosteroids,ethyl alcohol,propylene glycol-containing solutions"
e45cc371-9ebc-4904-12bc-65cb4e2817ad,ccb063c5-2695-4ed5-a281-c75f6ea28d3a,17,"These highlights do not include all the information needed to use LEVULAN® KERASTICK® safely and effectively.  See full prescribing information for LEVULAN KERASTICK.
LEVULAN KERASTICK (aminolevulinic acid HCl) for Topical Solution, 20% Initial U.S. Approval: 1999",DI,"7 DRUG INTERACTIONS

There have been no formal studies of the interaction of LEVULAN KERASTICK topical solution with any other drugs, and no drug-specific interactions were noted during any of the controlled clinical trials. It is, however, possible that concomitant use of other known photosensitizing agents such as St. John’s wort, griseofulvin, thiazide diuretics, sulfonylureas, phenothiazines, sulfonamides and tetracyclines might increase the photosensitivity reaction of actinic keratoses treated with LEVULAN KERASTICK topical solution [see Warnings and Precautions (5.2)]. 





Concomitant use of other known photosensitizing agents such as St. John’s wort, griseofulvin, thiazide diuretics, sulfonylureas, phenothiazines, sulfonamides and tetracyclines might increase the photosensitivity reaction. (7)","St. John’s wort, griseofulvin, thiazide diuretics, sulfonylureas, phenothiazines, sulfonamides, tetracyclines"
b8eb330a-a75b-46cb-b694-5be9327ed2eb,3860168c-32e9-4151-b08e-25d4bbac75b6,5,"DOPRAM Injection(doxapram hydrochloride injection, USP)",DI,"Drug Interactions

Administration of doxapram to patients who are receiving sympathomimetic or monoamine oxidase inhibiting drugs may result in an additive pressor effect (see 
PRECAUTIONS, General
).
In patients who have received neuromuscular blocking agents, doxapram may temporarily mask the residual effects of these drugs.
In patients who have received general anesthesia utilizing a volatile agent known to sensitize the myocardium to catecholamines, administration of doxapram should be delayed until the volatile agent has been excreted in order to lessen the potential for arrhythmias, including ventricular tachycardia and ventricular fibrillation (see 
WARNINGS
).
There may be an interaction between doxapram and aminophylline and between doxapram and theophylline manifested by increased skeletal muscle activity, agitation, and hyperactivity.","sympathomimetic,monoamine oxidase inhibiting drugs,neuromuscular blocking agents,volatile agent,aminophylline,theophylline"
58b25d79-78f2-4953-b0c6-61658dc4ef0d,ed5bd01d-2175-457e-ae65-7197f40d7342,9,"RIMSO-50®


brand of dimethyl sulfoxide irrigation, USP",DI,,""
821073f7-33f6-464d-baed-f66d97987d6d,c5d11596-8c13-483a-93f9-f7016fb8c663,14,"These highlights do not include all the information needed to use ERTACZO Cream safely and effectively.  See full prescribing information for ERTACZO Cream.ERTACZO® (sertaconazole nitrate) cream, for topical useInitial U.S. Approval: 2003",DI,,""
a20eb852-4c25-49f0-98bc-aed493336e75,9f6bfdfc-2991-4bd3-85c8-0f0c446f6d1d,12,"These highlights do not include all the information needed to use PRALUENT safely and effectively.  See full prescribing information for PRALUENT. 
PRALUENT® (alirocumab) injection, for subcutaneous use Initial U.S. Approval:  2015",DI,,""
