title,text,annotation
908691b4-7950-4f3e-bbea-ea568fee7ac3,"CONTRAINDICATIONS

There are no known contraindications to oral use when administered in recommended doses.
Isoxsuprine Hydrochloride, USP should not be given immediately postpartum or in the presence of arterial bleeding.","immediately postpartum,arterial bleeding"
5a0ba417-8a4a-4d7f-b85a-1839ee8bd3f1,"4 CONTRAINDICATIONS

None.





None. (4)",
366e7ca9-4fd3-4688-bd83-1f369885e0fc,"4 CONTRAINDICATIONS

None.





None (4)",
bc563e90-10e5-475d-aa84-b0e3d582ae95,"4 CONTRAINDICATIONS

None.





None (4)",
eccd8340-ead3-4363-8902-0c19d33aa2ac,"CONTRAINDICATIONS


BREVITAL is contraindicated in patients in whom general anesthesia is contraindicated, in those with latent or manifest porphyria, or in patients with a known hypersensitivity to barbiturates.","general anesthesia contraindicated,latent porphyria,manifest porphyria,hypersensitivity to barbiturates"
e45cc371-9ebc-4904-12bc-65cb4e2817ad,"4 CONTRAINDICATIONS

The LEVULAN KERASTICK for topical solution plus blue light illumination using the BLU-U Blue Light Photodynamic Therapy Illuminator is contraindicated in patients with:


•Cutaneous photosensitivity at wavelengths of 400-450 nm [see Warnings and Precautions (5.2)]


•Porphyria or known allergies to porphyrins [see Warnings and Precautions (5.2)]


•Known sensitivity to any of the components of the LEVULAN KERASTICK.








•Cutaneous photosensitivity at wavelengths of 400-450 nm. (4)

•Porphyria or known allergies to porphyrins. (4)

•Sensitivity to any of the components of the LEVULAN KERASTICK. (4)","cutaneous photosensitivity at wavelengths 400-450 nm,porphyria,allergies to porphyrins,sensitivity to any of the components of the LEVULAN KERASTICK"
b8eb330a-a75b-46cb-b694-5be9327ed2eb,"CONTRAINDICATIONS

Doxapram is contraindicated in patients with known hypersensitivity to the drug or any of the injection components.
Doxapram should not be used in patients with epilepsy or other convulsive disorders.
Doxapram is contraindicated in patients with proven or suspected pulmonary embolism.
Doxapram is contraindicated in patients with mechanical disorders of ventilation such as mechanical obstruction, muscle paresis (including neuromuscular blockade), flail chest, pneumothorax, acute bronchial asthma, pulmonary fibrosis, or other conditions resulting in restriction of the chest wall, muscles of respiration, or alveolar expansion.
Doxapram is contraindicated in patients with evidence of head injury, cerebral vascular accident, or cerebral edema, and in those with significant cardiovascular impairment, uncompensated heart failure, severe coronary artery disease, or severe hypertension, including that associated with hyperthyroidism or pheochromocytoma. (See 
WARNINGS
.)","hypersensitivity to doxapram,hypersensitivity to any of the injection components,epilepsy,convulsive disorders,pulmonary embolism,mechanical disorders of ventilation,mechanical obstruction,muscle paresis,neuromuscular blockade,flail chest,pneumothorax,acute bronchial asthma,pulmonary fibrosis,restriction of the chest wall,restriction of the muscles of respiration,restriction of alveolar expansion,head injury,cerebral vascular incident,cerebral edema,severe cardiovascular impairment,uncompensated heart failure,severe coronary artery disease,severe hypertension"
58b25d79-78f2-4953-b0c6-61658dc4ef0d,"CONTRAINDICATIONS

None known.",
821073f7-33f6-464d-baed-f66d97987d6d,"4  CONTRAINDICATIONS 

None.





None. (4)",
a20eb852-4c25-49f0-98bc-aed493336e75,"4 CONTRAINDICATIONS


PRALUENT is contraindicated in patients with a history of a serious hypersensitivity reaction to alirocumab or any of the excipients in PRALUENT. Hypersensitivity vasculitis, angioedema, and hypersensitivity reactions requiring hospitalization have occurred [see Warnings and Precautions (5.1)].







History of a serious hypersensitivity reaction to alirocumab or any of the excipients in PRALUENT. (4)","serious hypersensitivity reaction to alirocumab,serious hypersensitivity reaction to any of the excipients in PRALUENT"
51591524-4703-44c6-8bde-dce3e6a463d1,"4 CONTRAINDICATIONS

NUZYRA is contraindicated in patients with known hypersensitivity to omadacycline or tetracycline-class antibacterial drugs, or to any of the excipients [see Warnings and Precautions (5.3) and Adverse Reactions (6.1)].






Known hypersensitivity to omadacycline, tetracycline-class antibacterial drugs or any of the excipients in NUZYRA (4)","hypersensitivity to omadacycline-class antibacterial drugs,hypersensitivity to tetracycline-class antibacterial drugs,hypersensitivity to any of the excipients in NUZYRA"
f6927e91-bb46-47b3-ab66-f9d8a9d7b12a,"4 CONTRAINDICATIONS

None.





None. (4)",
6a95effd-32a5-46b6-a30e-7f4f9bf8cc77,"4  CONTRAINDICATIONS

None.





None (4)",
