concept_id	concept_name	concept_synonym_name
501343	hepatitis B immune globulin	hepatitis B immunoglobin
501488	Hepatitis B Vaccine	
507832	herpesvirus 3, human	
509079	meningococcal group A polysaccharide	
509081	meningococcal group C polysaccharide	
513909	heptavalent pneumococcal conjugate vaccine	
514012	meningococcal polysaccharide vaccine group W-135	
514015	meningococcal polysaccharide vaccine group Y	
514834	honey bee venom	
515671	Neisseria meningitidis	
522562	ZOSTER VACCINE LIVE (OKA-MERCK)	
523202	Salmonella typhi Ty21a live antigen	typhoid vaccine live Ty21a
523212	rubella virus vaccine live (Wistar RA 27-3 strain)	
523283	poliovirus vaccine inactivated, type 1 (Mahoney)	
523365	poliovirus vaccine inactivated, type 2 (MEF-1)	
523367	poliovirus vaccine inactivated, type 3 (Saukett)	
523620	Mumps Vaccine	
528263	Immune Globulin (Human)	Human Immunoglobulin
528263	Immune Globulin (Human)	Human Immunoglobulin [EPC]
528263	Immune Globulin (Human)	Human immunoglobulin
528263	Immune Globulin (Human)	Human immunoglobulin (substance)
528263	Immune Globulin (Human)	Human immunoglobulin product
528263	Immune Globulin (Human)	Human immunoglobulin product (product)
528263	Immune Globulin (Human)	Human immunoglobulin product (substance)
528263	Immune Globulin (Human)	human immune globulin
528263	Immune Globulin (Human)	human immunoglobulin
528263	Immune Globulin (Human)	human immunoglobulins
528263	Immune Globulin (Human)	immune globulin human
528263	Immune Globulin (Human)	immune human globulin
528271	Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine	
528295	Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine	
528297	Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine	
528301	Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine	
528323	hepatitis B surface antigen vaccine	
528986	Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine	
528988	Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine	
528990	Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine	
529042	Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine	
529044	Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine	
529046	Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine	
529072	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	
529076	L1 protein, human papillomavirus type 11 vaccine	
529112	L1 protein, human papillomavirus type 16 vaccine	
529114	L1 protein, human papillomavirus type 18 vaccine	
529116	L1 protein, human papillomavirus type 6 vaccine	
529118	Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine	
529176	human-bovine reassortant rotavirus strain G1 vaccine	human rotavirus A type G1P7(5) strain WI79 live antigen
529180	human-bovine reassortant rotavirus strain G2 vaccine	human rotavirus A type G2P7(5) strain SC2 live antigen
529212	human-bovine reassortant rotavirus strain G3 vaccine	human rotavirus A type G3P7(5) strain WI78 live antigen
529214	human-bovine reassortant rotavirus strain G4 vaccine	human rotavirus A type G4P7(5) strain BRB live antigen
529216	human-bovine reassortant rotavirus strain P1A[8] vaccine	human rotavirus A type G6P1A(8) strain WI79 live antigen
529218	acellular pertussis vaccine, inactivated	
529303	diphtheria toxoid vaccine, inactivated	
529411	tetanus toxoid vaccine, inactivated	
529660	hepatitis A vaccine (inactivated) strain HM175	
529713	mumps virus vaccine live, Jeryl Lynn strain	
530003	Haemophilus influenzae b, capsular polysaccharide Meningococcal Protein Conjugate Vaccine	
530007	Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine	
532272	measles virus vaccine live, Enders' attenuated Edmonston strain	
532274	yellow fever virus strain 17D-204 live antigen	
532424	Influenza Virus Vaccine, Inactivated, A-H1N1 (A-Brisbane-59-2007) strain	
532430	Influenza Virus Vaccine, Inactivated, A-H3N2 (A-Uruguay-716-2007) strain	
532452	Influenza Virus Vaccine, Inactivated, Influenza B (B-Florida-4-2006) strain	
532454	Varicella Virus Vaccine Live (Oka-Merck) strain	
532460	Influenza Virus Vaccine, Inactivated A-Brisbane-10-2007 (H3N2)-like virus (A-Uruguay-716-2007 NYMC X-175C) strain	
532486	Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007 (H1N1)-like virus (A-Brisbane-59-2007 IVR-148) strain	
532488	Influenza Virus Vaccine, Inactivated, B-Florida-4-2006-like virus (B-Florida-4-2006) strain	
532512	Influenza Virus Vaccine, Live Attenuated, A-South Dakota-6-2007 (H1N1) (A-Brisbane-59-2007-like) strain	
532516	Influenza Virus Vaccine, Live Attenuated, A-Uruguay -716-2007 (H3N2) (A-Brisbane-10-2007-like) strain	
532518	Influenza Virus Vaccine, Live Attenuated, B-Florida-4-2006 strain	
532552	Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007 (H1N1) strain	
532582	Influenza Virus Vaccine, Inactivated A-Uruguay-716-2007 (H3N2) (A-Brisbane-10-2007-like) strain	
532584	Influenza Virus Vaccine, Inactivated B-Florida-4-2006 strain	
532881	typhoid Vi polysaccharide vaccine, S typhi Ty2 strain	
535345	Immunoglobins, Intravenous	
535714	Rho(D) immune globulin	anti-D (Rh) immunoglobulin
537411	Pneumococcal polysaccharides (7)	
537647	palivizumab	
538530	Candida albicans	
543287	Chickenpox Vaccine	
543291	varicella-zoster immune globulin	
543343	Vi polysaccharide vaccine, typhoid	
544411	rabies virus vaccine flury-lep strain	
544505	rabies virus vaccine wistar strain PM-1503-3M (human), inactivated	
544509	rabies immune globulin, (human) vaccine	
551463	Lyme Disease Vaccine	
551943	Pertussis, acellular	
551977	Poliovirus Vaccine, Inactivated	
559532	Yellow Fever Vaccine	Yellow fever, live attenuated
561429	Polyvalent pneumococcal vaccine	
568224	Hepatitis B Surface Antigens	
571187	OspA protein	
