set_id,label_id,spl_version,title,section,label
908691b4-7950-4f3e-bbea-ea568fee7ac3,e6f0f0dd-940a-490f-a404-56dd561264e6,1,"Isoxsuprine Hydrochloride Tablets, USP",CO,"CONTRAINDICATIONS

There are no known contraindications to oral use when administered in recommended doses.
Isoxsuprine Hydrochloride, USP should not be given immediately postpartum or in the presence of arterial bleeding."
5a0ba417-8a4a-4d7f-b85a-1839ee8bd3f1,8e64b577-1ecb-46f2-a7c8-3577a16f8837,5,"These highlights do not include all the information needed to use VISTOGARD safely and effectively. See full prescribing information for VISTOGARD.
VISTOGARD® (uridine triacetate) oral granulesInitial U.S. Approval: 2015",CO,"4 CONTRAINDICATIONS

None.





None. (4)"
366e7ca9-4fd3-4688-bd83-1f369885e0fc,191d11f2-a407-4cbf-8e8b-466e2bc03f2c,4,"These highlights do not include all the information needed to use PENTETATE ZINC TRISODIUM INJECTION safely and effectively. See full prescribing information for PENTETATE ZINC TRISODIUM INJECTION.
 Pentetate zinc trisodium injection (Zn-DTPA)
 For intravenous or inhalation administration Initial U.S. Approval: 2004",CO,"4 CONTRAINDICATIONS

None.





None (4)"
bc563e90-10e5-475d-aa84-b0e3d582ae95,1b3410c5-6dba-401e-8a6e-4b483e65dc48,4,"These highlights do not include all the information needed to use PENTETATE CALCIUM TRISODIUM INJECTION safely and effectively. See full prescribing information for PENTETATE CALCIUM TRISODIUM INJECTION.
Pentetate calcium trisodium injection (Ca-DTPA)
For intravenous or inhalation administrationInitial U.S. Approval: 2004",CO,"4 CONTRAINDICATIONS

None.





None (4)"
eccd8340-ead3-4363-8902-0c19d33aa2ac,6f36157b-6fae-4428-80b7-aee3842d21c6,13,"BREVITAL®


 (methohexital sodium) for injection, USP",CO,"CONTRAINDICATIONS


BREVITAL is contraindicated in patients in whom general anesthesia is contraindicated, in those with latent or manifest porphyria, or in patients with a known hypersensitivity to barbiturates."
e45cc371-9ebc-4904-12bc-65cb4e2817ad,ccb063c5-2695-4ed5-a281-c75f6ea28d3a,17,"These highlights do not include all the information needed to use LEVULAN® KERASTICK® safely and effectively.  See full prescribing information for LEVULAN KERASTICK.
LEVULAN KERASTICK (aminolevulinic acid HCl) for Topical Solution, 20% Initial U.S. Approval: 1999",CO,"4 CONTRAINDICATIONS

The LEVULAN KERASTICK for topical solution plus blue light illumination using the BLU-U Blue Light Photodynamic Therapy Illuminator is contraindicated in patients with:


•Cutaneous photosensitivity at wavelengths of 400-450 nm [see Warnings and Precautions (5.2)]


•Porphyria or known allergies to porphyrins [see Warnings and Precautions (5.2)]


•Known sensitivity to any of the components of the LEVULAN KERASTICK.








•Cutaneous photosensitivity at wavelengths of 400-450 nm. (4)

•Porphyria or known allergies to porphyrins. (4)

•Sensitivity to any of the components of the LEVULAN KERASTICK. (4)"
b8eb330a-a75b-46cb-b694-5be9327ed2eb,3860168c-32e9-4151-b08e-25d4bbac75b6,5,"DOPRAM Injection(doxapram hydrochloride injection, USP)",CO,"CONTRAINDICATIONS

Doxapram is contraindicated in patients with known hypersensitivity to the drug or any of the injection components.
Doxapram should not be used in patients with epilepsy or other convulsive disorders.
Doxapram is contraindicated in patients with proven or suspected pulmonary embolism.
Doxapram is contraindicated in patients with mechanical disorders of ventilation such as mechanical obstruction, muscle paresis (including neuromuscular blockade), flail chest, pneumothorax, acute bronchial asthma, pulmonary fibrosis, or other conditions resulting in restriction of the chest wall, muscles of respiration, or alveolar expansion.
Doxapram is contraindicated in patients with evidence of head injury, cerebral vascular accident, or cerebral edema, and in those with significant cardiovascular impairment, uncompensated heart failure, severe coronary artery disease, or severe hypertension, including that associated with hyperthyroidism or pheochromocytoma. (See 
WARNINGS
.)"
58b25d79-78f2-4953-b0c6-61658dc4ef0d,ed5bd01d-2175-457e-ae65-7197f40d7342,9,"RIMSO-50®


brand of dimethyl sulfoxide irrigation, USP",CO,"CONTRAINDICATIONS

None known."
821073f7-33f6-464d-baed-f66d97987d6d,c5d11596-8c13-483a-93f9-f7016fb8c663,14,"These highlights do not include all the information needed to use ERTACZO Cream safely and effectively.  See full prescribing information for ERTACZO Cream.ERTACZO® (sertaconazole nitrate) cream, for topical useInitial U.S. Approval: 2003",CO,"4  CONTRAINDICATIONS 

None.





None. (4)"
a20eb852-4c25-49f0-98bc-aed493336e75,9f6bfdfc-2991-4bd3-85c8-0f0c446f6d1d,12,"These highlights do not include all the information needed to use PRALUENT safely and effectively.  See full prescribing information for PRALUENT. 
PRALUENT® (alirocumab) injection, for subcutaneous use Initial U.S. Approval:  2015",CO,"4 CONTRAINDICATIONS


PRALUENT is contraindicated in patients with a history of a serious hypersensitivity reaction to alirocumab or any of the excipients in PRALUENT. Hypersensitivity vasculitis, angioedema, and hypersensitivity reactions requiring hospitalization have occurred [see Warnings and Precautions (5.1)].







History of a serious hypersensitivity reaction to alirocumab or any of the excipients in PRALUENT. (4)"
51591524-4703-44c6-8bde-dce3e6a463d1,54a39fe1-7a22-4f65-858d-f04c872c1c65,9,"These highlights do not include all the information needed to use NUZYRA® safely and effectively. See full prescribing information for NUZYRA. 
NUZYRA (omadacycline) for injection, for intravenous use NUZYRA (omadacycline) tablets, for oral use Initial U.S. Approval: 2018",CO,"4 CONTRAINDICATIONS

NUZYRA is contraindicated in patients with known hypersensitivity to omadacycline or tetracycline-class antibacterial drugs, or to any of the excipients [see Warnings and Precautions (5.3) and Adverse Reactions (6.1)].






Known hypersensitivity to omadacycline, tetracycline-class antibacterial drugs or any of the excipients in NUZYRA (4)"
f6927e91-bb46-47b3-ab66-f9d8a9d7b12a,8bdc1b76-3c74-4a6a-8a82-86a6a09f6c1d,2,"These highlights do not include all the information needed to use RAXIBACUMAB safely and effectively. See full prescribing information for RAXIBACUMAB.
RAXIBACUMAB injection, for intravenous useInitial U.S. Approval: 2012",CO,"4 CONTRAINDICATIONS

None.





None. (4)"
